CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2008 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 
Done!10.40 s

Number of sentences: 1600
Number of features:  2207527
Number of thread(s): 3
Freq:                1
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=103 terr=0.03811 serr=0.89250 act=2207527 obj=19083.30333 diff=0.00520
iter=104 terr=0.03754 serr=0.89250 act=2207527 obj=18927.21484 diff=0.00818
iter=105 terr=0.04445 serr=0.90500 act=2207527 obj=19583.80679 diff=0.03469
iter=106 terr=0.03754 serr=0.89000 act=2207527 obj=18843.61488 diff=0.03780
iter=107 terr=0.03786 serr=0.89375 act=2207527 obj=18735.39944 diff=0.00574
iter=108 terr=0.03726 serr=0.89625 act=2207527 obj=18604.66541 diff=0.00698
iter=109 terr=0.03667 serr=0.89250 act=2207527 obj=18538.01908 diff=0.00358
iter=110 terr=0.03663 serr=0.89063 act=2207527 obj=18466.66544 diff=0.00385
iter=111 terr=0.03588 serr=0.88313 act=2207527 obj=18118.47755 diff=0.01885
iter=112 terr=0.03719 serr=0.88062 act=2207527 obj=18183.91843 diff=0.00361
iter=113 terr=0.03499 serr=0.87750 act=2207527 obj=17928.62247 diff=0.01404
iter=114 terr=0.03490 serr=0.87500 act=2207527 obj=17760.95423 diff=0.00935
iter=115 terr=0.03448 serr=0.87813 act=2207527 obj=17639.09884 diff=0.00686
iter=116 terr=0.03418 serr=0.87250 act=2207527 obj=17559.92874 diff=0.00449
iter=117 terr=0.03351 serr=0.86938 act=2207527 obj=17518.93988 diff=0.00233
iter=118 terr=0.03303 serr=0.86875 act=2207527 obj=17343.19265 diff=0.01003
iter=119 terr=0.03359 serr=0.87313 act=2207527 obj=17102.22861 diff=0.01389
iter=120 terr=0.03260 serr=0.86375 act=2207527 obj=16914.22496 diff=0.01099
iter=121 terr=0.03220 serr=0.86313 act=2207527 obj=16785.91297 diff=0.00759
iter=122 terr=0.03267 serr=0.86250 act=2207527 obj=16734.49967 diff=0.00306
iter=123 terr=0.03189 serr=0.86313 act=2207527 obj=16625.00735 diff=0.00654
iter=124 terr=0.03144 serr=0.85813 act=2207527 obj=16548.97240 diff=0.00457
iter=125 terr=0.03097 serr=0.86062 act=2207527 obj=16475.13654 diff=0.00446
iter=126 terr=0.03073 serr=0.85875 act=2207527 obj=16331.90011 diff=0.00869
iter=127 terr=0.03000 serr=0.85125 act=2207527 obj=16140.38026 diff=0.01173
iter=128 terr=0.02920 serr=0.83688 act=2207527 obj=16002.66856 diff=0.00853
iter=129 terr=0.02899 serr=0.83625 act=2207527 obj=15895.05800 diff=0.00672
iter=130 terr=0.02891 serr=0.83375 act=2207527 obj=15823.69512 diff=0.00449
iter=131 terr=0.02904 serr=0.83937 act=2207527 obj=15702.29415 diff=0.00767
iter=132 terr=0.02840 serr=0.83750 act=2207527 obj=15562.48890 diff=0.00890
iter=133 terr=0.02774 serr=0.83688 act=2207527 obj=15435.36392 diff=0.00817
iter=134 terr=0.02730 serr=0.83062 act=2207527 obj=15309.73873 diff=0.00814
iter=135 terr=0.02701 serr=0.81563 act=2207527 obj=15232.77147 diff=0.00503
iter=136 terr=0.02676 serr=0.82813 act=2207527 obj=15084.64839 diff=0.00972
iter=137 terr=0.02652 serr=0.82750 act=2207527 obj=15040.26259 diff=0.00294
iter=138 terr=0.02662 serr=0.82750 act=2207527 obj=14973.91116 diff=0.00441
iter=139 terr=0.02666 serr=0.82813 act=2207527 obj=14956.87091 diff=0.00114
iter=140 terr=0.02605 serr=0.82625 act=2207527 obj=14903.47798 diff=0.00357
iter=141 terr=0.02596 serr=0.82500 act=2207527 obj=14803.37428 diff=0.00672
iter=142 terr=0.02578 serr=0.82625 act=2207527 obj=14723.41921 diff=0.00540
iter=143 terr=0.02536 serr=0.82875 act=2207527 obj=14607.58611 diff=0.00787
iter=144 terr=0.02568 serr=0.80625 act=2207527 obj=14628.91690 diff=0.00146
iter=145 terr=0.02475 serr=0.81563 act=2207527 obj=14550.13471 diff=0.00539
iter=146 terr=0.02461 serr=0.81563 act=2207527 obj=14486.82330 diff=0.00435
iter=147 terr=0.02426 serr=0.81188 act=2207527 obj=14395.49821 diff=0.00630
